Name,Weight,CPU Frequency,Built-in Memory,RAM,Display Size,Camera Resolution,Operating System
Apple iPhone XS Max Dual SIM 512GB,208,2.5,512,4,5.8,12,IOS
Samsung Galaxy Note 10 Plus N975F/DS,196,2.73,256,12,6,16,Android
Apple iPhone 8 Plus 256GB,202,2.39,256,3,5.5,12,IOS
Samsung Galaxy S10 Plus SM-G975F,175,2.73,128,8,6,16,Android
Huawei P30 Pro VOG-L29,192,2.6,256,8,6,40,Android
Samsung Galaxy S9 Plus SM-G965FD,189,2.8,128,6,6,12,Android
Nokia 9 PureView TA-1087,172,2.8,128,6,5.7,12,Android
Doogee S80 Dual SIM 64GB,398,2.5,64,6,5.6,12,Android
Xiaomi mi 8 M1803E1A,175,1.8,128,6,6,12,Android
Microsoft Lumia 950 XL Dual SIM,165,2,32,3,5.7,20,Microsoft Windows 10
Nokia N82,114,0.332,1,1,2.4,5,Symbian OS 9.2
Nokia E7,176,0.68,16,1,4,8,Nokia Belle OS
