Name,Weight,Num. of Seats,Num. of Cylinders,Engine Capacity,Reverse Parking Sensors
Bugatti Chiron SuperSoprt 2016 AT,1996,2,16,8000,1
Lamborghini Centenario 2016 AT,1520,2,12,6398,1
Hummer H2 2009 AT,3900,5,8,6200,1
Mercedes Benz SLS AMG 2014 AT,1620,2,8,6208,1
Rolls Royce Ghost Series II 2016 AT,2420,4,12,6592,1
Volkswagen Beetle 2016 AT,1420,4,4,2000,1
Hyundai Sonata LF 2017 Hybrid AT - A,1586,5,4,1999,1
IKCO Samand LX-EF7 1397 MT,1240,5,4,1645,1
Peugeot Pars LX 1397 MT,1215,5,4,1587,1
Saipa Pride 131 1397 MT,915,5,4,1323,0
Mazda Cara 2000 Pickup 1395 MT,1250,2,4,1998,0
Zamyad Z28 Pickup 1395 MT,1540,2,4,2800,0
